Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
3.2768,8599.25,103191,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Udacity Initial Cost Estimate,US East (N. Virginia),S3 Storage for pictures/movies etc,S3 Standard,3.2768,235.52,2829.52,USD,"S3 Standard storage (10 TB per month), S3 Standard Average Object Size (16 MB)"
Udacity Initial Cost Estimate,US East (N. Virginia),S3 Storage for pictures/movies etc,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (0 TB per month), DT Outbound: Amazon CloudFront (0 TB per month)"
Udacity Initial Cost Estimate,US East (N. Virginia),,Amazon CloudFront,0,1729.6,20755.20,USD,"Data transfer out to internet (20 TB per month), Data transfer out to origin (0 GB per month), Number of requests (HTTPS) (40000000 per month)"
Udacity Initial Cost Estimate,US East (N. Virginia),,VPN Connection,0,0,0.00,USD,Working days per month (22)
Udacity Initial Cost Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,157.86,1894.32,USD,Number of NAT Gateways (2)
Udacity Initial Cost Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,5066.24,60794.88,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (1 TB per month), Nodes (2), Instance Type (db.m2.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (5 TB), Total Size of Backup Processed for Export (GB) (5000 per month)"
Udacity Initial Cost Estimate,US East (N. Virginia),,Application Load Balancer,0,196.69,2360.28,USD,Number of Application Load Balancers (2)
Udacity Initial Cost Estimate,US East (N. Virginia),Web-Server,Amazon EC2,0,606.67,7280.04,USD,"Operating system (Linux), Quantity (6), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (t4g.xlarge)"
Udacity Initial Cost Estimate,US East (N. Virginia),App Server,Amazon EC2,0,606.67,7280.04,USD,"Operating system (Linux), Quantity (6), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (t4g.xlarge)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
